2026-07-11 11:08:50.709 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-07-11 11:08:50.710 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-11 11:08:51.040 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 16204 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-07-11 11:08:51.040 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-07-11 11:08:51.415 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-11 11:08:51.447 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 385 ms
2026-07-11 11:08:51.658 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-11 11:08:51.662 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.741 seconds (process running for 1.261)
2026-07-11 11:08:51.664 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-07-11 11:09:00.734 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-11 11:09:00.735 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-07-11 11:09:00.755 [http-nio-8080-exec-1] INFO  [txnId=37dfaef47868435d973b9bc7d7bcfc8e] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-11 11:09:00.756 [http-nio-8080-exec-1] ERROR [txnId=37dfaef47868435d973b9bc7d7bcfc8e] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:09:05.772 [http-nio-8080-exec-2] ERROR [txnId=721ce526ce634ff38fe6786abae326ec] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:09:13.842 [http-nio-8080-exec-3] ERROR [txnId=03ea01b2b3984b9c8ba6272cb3639949] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:09:15.777 [http-nio-8080-exec-4] ERROR [txnId=d2dd42f6790b4376906ca051056bd14d] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:09:30.662 [http-nio-8080-exec-5] ERROR [txnId=b025ef3cc38c4f14893be6e6fdaf1950] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:09:51.410 [SpringApplicationShutdownHook] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-07-11 11:09:51.415 [tomcat-shutdown] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2026-07-11 11:09:54.835 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-07-11 11:09:54.835 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-11 11:09:55.153 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 16802 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-07-11 11:09:55.153 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-07-11 11:09:55.520 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-07-11 11:09:55.550 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 376 ms
2026-07-11 11:09:55.759 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-07-11 11:09:55.763 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.723 seconds (process running for 1.207)
2026-07-11 11:09:55.764 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-07-11 11:10:00.942 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-07-11 11:10:00.943 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-07-11 11:10:00.964 [http-nio-8080-exec-1] INFO  [txnId=e2f2cdd379fa4106b4d2003e66f8ef6a] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-07-11 11:10:00.964 [http-nio-8080-exec-1] ERROR [txnId=e2f2cdd379fa4106b4d2003e66f8ef6a] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:10:01.134 [http-nio-8080-exec-2] ERROR [txnId=bbc716b3cf3442909eb87df90521ea5b] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:10:02.890 [http-nio-8080-exec-3] ERROR [txnId=8cce7808a3f54123850a66ced08fc086] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
2026-07-11 11:10:04.195 [http-nio-8080-exec-4] ERROR [txnId=a18bf0624aa5409fa73fdbf813efc5fc] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Rejecting request from disallowed IP: 0:0:0:0:0:0:0:1
