2026-08-06 11:04:17.458 [main] INFO  [txnId=na] [ip=na] c.t.server.LoggingInitializer - Logging to date-based files: /Users/jainnibha/chandra-workspace/trustsign/config/logs/application-%d{yyyy-MM-dd}.log
2026-08-06 11:04:17.459 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Using config: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-08-06 11:04:17.810 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Starting Main using Java 25.0.3 with PID 15650 (/Users/jainnibha/chandra-workspace/trustsign/build/classes/java/main started by jainnibha in /Users/jainnibha/chandra-workspace/trustsign)
2026-08-06 11:04:17.811 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - No active profile set, falling back to 1 default profile: "default"
2026-08-06 11:04:18.168 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-08-06 11:04:18.196 [main] INFO  [txnId=na] [ip=na] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 363 ms
2026-08-06 11:04:18.407 [main] INFO  [txnId=na] [ip=na] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-08-06 11:04:18.411 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - Started Main in 0.709 seconds (process running for 1.222)
2026-08-06 11:04:18.412 [main] INFO  [txnId=na] [ip=na] com.trustsign.server.Main - TrustSign API at http://0.0.0.0:8080/pki — Spring Boot MVC
2026-08-06 11:05:02.985 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-08-06 11:05:02.988 [http-nio-8080-exec-1] INFO  [txnId=na] [ip=na] o.s.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2026-08-06 11:05:03.014 [http-nio-8080-exec-1] INFO  [txnId=299ff53c60ab4793b5599786e24f7539] [ip=0:0:0:0:0:0:0:1] com.trustsign.server.ApiServlet - Reloaded config from disk: /Users/jainnibha/chandra-workspace/trustsign/config/config.json
2026-08-06 11:10:29.968 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Loaded signing certificate: thumbprint=484888c16e2262f5193a381c66970a6c98808453 subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN'
2026-08-06 11:10:29.969 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Loaded signing certificate: thumbprint=47193b47b0f6b8d5d39072579aaf4134cec9faee subject='CN=XtraTrust Sub CA 2022,2.5.4.51=#13045a2d3234,STREET=Zone-1\, M.P. Nagar\, Bhopal,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=Certifying Authority,O=XtraTrust DigiSign Private Limited,C=IN'
2026-08-06 11:10:29.969 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Loaded signing certificate: thumbprint=8b16954de8ffef1deb9eba1461cf310ceff82059 subject='CN=XtraTrust CA 2022,2.5.4.51=#13045a2d3234,STREET=Zone-1\, M.P. Nagar\, Bhopal,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=Certifying Authority,O=XtraTrust DigiSign Private Limited,C=IN'
2026-08-06 11:10:29.969 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Loaded signing certificate: thumbprint=a79e41380bab3ed7f5188d9a5209cefcb3ca6991 subject='CN=CCA India 2022,O=India PKI,C=IN'
2026-08-06 11:10:31.062 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] c.t.core.CertificateValidator - Reloaded truststore from disk: /Users/jainnibha/chandra-workspace/trustsign/config/truststore.jks
2026-08-06 11:10:31.064 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] c.t.core.CertificateValidator - Strict certificate chain validation successful: subject='CN=DS XTRATRUST DIGISIGN PRIVATE LIMITED 4,2.5.4.5=#134064383336633133666638633538313737393566393339306432383462323035636163333939363363383561646132636639653736343031643637656139393438,ST=Madhya Pradesh,2.5.4.17=#1306343632303131,OU=operations,O=XTRATRUST DIGISIGN PRIVATE LIMITED,C=IN', chainLength=4, root='CN=CCA India 2022,O=India PKI,C=IN'
2026-08-06 11:10:31.064 [http-nio-8080-exec-13] INFO  [txnId=b32d3d84c4464d1ba7c8b04b61fb58ee] [ip=127.0.0.1] com.trustsign.server.ApiServlet - Submitting concurrent bulk PDF signing job. sourceDir=/Users/jainnibha/chandra-workspace/sample_pdfs destDir=/Users/jainnibha/chandra-workspace/signed_pdfs alias={82135953-0f0a-4b53-a661-50d24bb33dba} totalFiles=11 threads=8
2026-08-06 11:10:31.081 [pool-1-thread-6] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-4] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-2] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-1] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-5] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-3] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-8] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.081 [pool-1-thread-7] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Starting PDF signing. pages=1, finalVersion=false, tsaEnabled=false
2026-08-06 11:10:31.205 [pool-1-thread-6] INFO  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Signature placement page=1 mode=default-bottom-right requested=[x=null, y=null] rect=[x=398.0, y=24.0, w=190.0, h=59.4] page=[w=612.0, h=792.0]
2026-08-06 11:10:31.377 [pool-1-thread-6] WARN  [txnId=na] [ip=na] com.trustsign.core.PdfSignerService - Signature image path does not exist or is not a file: /Users/jainnibha/chandra-workspace/trustsign/greentickrbg.png
